"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2015395504",2015-07-13,"E ELK PL / N CRYSTAL ST, Denver, CO","5","521","Robbery-Street-Res","NON-INDUSTRY
","montbello"
"2015415182",2015-07-23,"3980 N FRANKLIN ST, Denver, CO","2","211","Criminal Mischief-Property","INDUSTRY
","cole"
"2015660215",2015-11-11,"80 S PENNSYLVANIA ST, Denver, CO","3","311","Burglary","INDUSTRY
","speer"
"2012485031",2012-10-18,"20723 E 43RD AVE, Denver, CO","5","523","Burglary","NON-INDUSTRY
","gateway-green-valley-ranch"
"2013286991",2013-06-24,"819 N STUART ST, Denver, CO","1","122","Burglary","NON-INDUSTRY
","villa-park"
"2015229394",2015-04-27,"20731 E 48TH PL, Denver, CO","5","523","Burglary","NON-INDUSTRY
","gateway-green-valley-ranch"
"2013116033",2013-03-12,"5300 N CROWN BLVD, Denver, CO","5","521","Agg ASLT-Firearm","NON-INDUSTRY
","montbello"
"2015439946",2015-08-03,"1201 20TH ST, Denver, CO","6","612","All Other Crimes","INDUSTRY
","five-points"
"2015645575",2015-11-04,"2645 S SANTA FE DR, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2015463798",2015-08-14,"1240 S BANNOCK ST, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2016524713",2016-08-18,"4975 N VASQUEZ BLVD, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"2015158307",2015-03-22,"3030 S FEDERAL BLVD, Denver, CO","4","422","Robbery-Street-Res","NON-INDUSTRY
","college-view-south-platte"
"2012173781",2012-04-27,"1135 W CUSTER PL, Denver, CO","4","412","Criminal Mischief-Property","INDUSTRY
","athmar-park"
"2012192389",2012-05-08,"3867 N TENNYSON ST, Denver, CO","1","111","Burglary","INDUSTRY
","berkeley"
"2012419410",2012-09-10,"3722 CHESTNUT PL, Denver, CO","2","211","Burglary","INDUSTRY
","five-points"
"2013345446",2013-07-25,"2910 S BRYANT ST, Denver, CO","4","422","Burglary","NON-INDUSTRY
","college-view-south-platte"
"2013275216",2013-06-18,"7380 E COLFAX AVE, Denver, CO","2","223","Criminal Mischief-Property","INDUSTRY
","east-colfax"
"2016193931",2016-03-29,"1406 W 38TH AVE, Denver, CO","1","113","Burglary","INDUSTRY
","highland"
"2012128156",2012-03-29,"2999 S MADISON ST, Denver, CO","3","314","Burglary","NON-INDUSTRY
","wellshire"
"2012313463",2012-07-14,"5670 E EVANS AVE, Denver, CO","3","323","Burglary","INDUSTRY
","goldsmith"
"2014673549",2014-12-20,"74 N FEDERAL BLVD, Denver, CO","4","411","All Other Crimes","INDUSTRY
","valverde"
"2014154445",2014-03-27,"1911 S BROADWAY ST, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2013625883",2013-12-30,"120 S KALAMATH ST, Denver, CO","3","311","Burglary","INDUSTRY
","baker"
